"Monthly tabular output of data from lltm_output_eri.csv"
"Output from the NOAA/GLERL Large Lake Thermodynamics Model."
"Evaporation (MM)"
YYYY,     Jan,     Feb,     Mar,     Apr,     May,     Jun,      Jul,     Aug,     Sep,     Oct,     Nov,     Dec
1950,    37.48,    38.78,    31.22,    14.29,     7.67,    47.01,    73.73,   112.22,   154.40,   134.31,   192.27,    89.11
1951,    31.95,    15.84,    14.96,     4.94,    18.32,    34.79,    77.26,   123.59,   176.25,   162.64,   167.53,    77.30
1952,    33.43,    22.53,    20.04,     6.51,    28.65,    33.57,    95.26,   119.61,   175.22,   236.46,   113.09,    77.11
1953,    33.44,    33.93,    20.85,    27.01,    20.28,    33.95,    94.56,   116.56,   194.04,   152.51,   149.93,   122.87
1954,    45.40,    15.79,    32.26,     6.85,    35.73,    35.22,    84.64,   131.53,   146.17,   169.77,   141.53,    98.80
1955,    53.11,    17.11,    25.24,     1.83,    29.20,    51.37,    77.78,   141.28,   181.35,   197.70,   178.20,    81.12
1956,    31.64,    20.95,    23.87,    11.81,    25.73,    33.61,    74.18,   105.96,   178.50,   142.42,   177.22,    70.35
1957,    50.06,    15.09,    16.16,    11.95,    34.07,    34.90,    84.77,   138.06,   161.78,   193.80,   144.11,    77.18
1958,    45.37,    36.17,     8.58,     4.86,    28.36,    49.03,    55.70,   119.94,   140.47,   182.16,   152.30,    95.61
1959,    33.72,    13.86,    14.52,     0.28,     3.61,    38.68,    68.75,    88.05,   164.76,   194.69,   158.06,    69.07
1960,    42.13,    41.30,    36.30,     2.02,     9.28,    41.09,    87.55,   101.29,   141.71,   208.26,   135.49,   117.18
1961,    30.36,     6.57,     9.99,     4.73,    25.24,    35.29,    50.00,   105.05,   157.59,   190.57,   155.75,   110.15
1962,    42.23,    14.89,     9.80,     3.24,     3.39,    31.29,    95.25,   105.12,   176.87,   169.20,   123.35,   108.77
1963,    31.64,    10.66,     7.12,     0.27,     7.97,    28.49,    71.29,   128.12,   153.80,   132.15,   155.03,   119.98
1964,    31.94,    25.37,    16.36,     4.34,    24.38,    35.56,    87.36,   136.83,   172.39,   178.53,   124.23,    84.79
1965,    48.28,    24.05,    20.09,     3.24,    10.70,    43.01,    88.84,   120.70,   120.91,   204.42,   133.43,    71.74
1966,    60.41,    14.78,    14.86,     6.28,    32.11,    24.25,    96.76,   115.88,   186.99,   187.14,   112.56,    93.50
1967,    41.92,    41.34,    13.79,     5.82,    29.52,    30.53,    77.79,   132.08,   167.41,   168.37,   154.07,    70.29
