"Monthly tabular output of data from lltm_output_geo.csv"
"Output from the NOAA/GLERL Large Lake Thermodynamics Model."
"Evaporation (MM)"
YYYY,     Jan,     Feb,     Mar,     Apr,     May,     Jun,      Jul,     Aug,     Sep,     Oct,     Nov,     Dec
1950,    73.38,    49.44,    25.99,    13.47,    -3.12,    -1.90,    11.33,    53.53,    70.17,    66.17,   138.44,   128.26
1951,    68.81,    38.52,    31.24,     1.44,    -2.27,     3.57,    22.69,    58.64,    97.98,    95.20,   158.94,   112.45
1952,    72.12,    44.56,    30.66,     1.63,    -1.54,    -1.07,    22.02,    52.26,    89.05,   162.00,   114.80,   100.46
1953,    84.79,    51.90,    29.84,    11.82,     6.03,     7.99,    44.70,    54.40,   115.74,    86.44,   109.99,   146.10
1954,   117.40,    33.11,    51.19,    11.57,     6.60,     1.49,    36.31,    72.24,    72.83,    83.34,   117.70,   130.69
1955,    93.64,    50.30,    49.51,    -0.08,    -0.02,     8.16,    29.03,    76.46,   109.56,    88.98,   166.73,   145.46
1956,    70.93,    46.67,    37.32,     9.55,     3.27,     1.68,    24.93,    49.52,    92.45,    69.21,   110.88,   101.02
1957,    89.77,    34.83,    23.37,    12.77,    18.95,    32.54,    58.56,   106.62,    95.16,    96.76,   128.64,   115.03
1958,    97.04,    64.26,    16.05,    11.23,    14.72,    39.35,    49.15,   100.28,    83.26,    93.80,   149.65,   151.61
1959,    94.58,    23.17,    17.08,     5.13,    -3.52,    -3.66,     9.05,    31.39,    97.44,   107.78,   122.23,    86.83
1960,    68.16,    44.01,    37.26,     5.03,     0.38,     8.05,    49.53,    73.89,    81.72,    93.43,    93.12,   128.09
1961,    77.24,    24.27,    23.55,     5.42,     4.68,    15.39,    24.71,    77.97,    85.67,    86.61,   104.42,   104.75
1962,    91.69,    37.75,    13.72,     7.65,    -0.52,     9.25,    57.36,    64.73,   100.46,    72.44,   103.46,   109.81
1963,    81.67,    28.22,     9.41,     3.34,     2.44,     3.58,    33.19,    66.44,    87.46,    57.18,   103.59,   146.18
1964,    78.93,    63.04,    46.26,    11.95,     1.09,    11.43,    37.98,    88.59,    88.37,   106.43,   118.23,   114.16
1965,   104.92,    54.37,    29.65,     7.52,    -1.52,     7.77,    44.12,    75.22,    66.16,   107.20,   111.28,    89.66
1966,   110.19,    40.35,    29.77,    10.48,    16.53,     3.84,    52.31,    74.52,   112.04,   109.71,   106.02,   123.18
