"Monthly tabular output of data from lltm_output_hur.csv"
"Output from the NOAA/GLERL Large Lake Thermodynamics Model."
"Evaporation (MM)"
YYYY,     Jan,     Feb,     Mar,     Apr,     May,     Jun,      Jul,     Aug,     Sep,     Oct,     Nov,     Dec
1950,    86.18,    55.47,    43.79,    22.00,    -2.68,    -4.19,     1.21,    25.39,    43.81,    42.16,    96.82,   106.13
1951,    56.58,    29.77,    27.69,     3.13,    -3.01,    -4.42,     1.65,    35.21,    66.50,    60.90,   120.38,    95.71
1952,    58.98,    43.36,    36.44,     8.72,    -1.58,    -4.24,     5.67,    27.02,    63.95,   118.71,    73.52,    72.97
1953,    70.68,    43.55,    30.05,    14.12,    -0.35,    -0.96,    19.46,    30.94,    77.66,    56.84,    68.89,   104.74
1954,   104.61,    32.93,    58.14,    13.97,     4.39,    -2.49,    16.59,    50.32,    45.86,    56.74,    75.47,   104.58
1955,    90.68,    41.27,    54.39,     2.28,    -1.75,     1.29,    11.19,    48.12,    78.97,    58.48,   110.47,   116.58
1956,    68.27,    46.23,    43.53,    12.14,     1.11,    -2.46,     7.73,    26.36,    67.89,    45.88,    93.01,    85.28
1957,    82.01,    29.69,    27.66,    12.67,     1.82,    -3.64,     7.86,    48.80,    57.80,    68.60,    87.51,    89.74
1958,    76.40,    56.38,    13.76,    11.88,     5.07,     8.60,     8.45,    49.52,    47.74,    66.54,   104.97,   147.62
1959,    79.57,    35.91,    24.60,     3.86,    -3.78,    -5.54,    -4.19,     2.43,    59.31,    76.58,   111.44,    78.20
1960,    61.54,    49.86,    41.04,     3.34,    -3.24,    -4.84,    -2.57,    11.39,    44.08,    65.40,    76.93,   122.79
1961,    64.14,    21.64,    18.07,     4.86,     1.22,    -4.95,    -3.72,    11.07,    42.24,    55.86,    76.15,    97.19
1962,    76.74,    31.30,    13.20,     7.29,    -2.97,    -4.51,     3.68,    18.55,    65.36,    53.56,    73.02,   108.47
1963,    68.76,    24.36,    11.73,     5.68,    -0.38,    -4.65,    -2.30,    23.73,    48.25,    37.01,    73.97,   115.46
1964,    56.64,    51.67,    45.23,    12.48,    -1.97,    -0.66,    10.26,    47.54,    59.34,    76.18,    67.57,    96.22
1965,    78.60,    42.80,    35.03,     8.65,    -2.00,    -1.71,    10.77,    33.45,    41.81,    77.89,    77.61,    70.26
1966,    85.94,    31.66,    28.43,    14.22,    10.94,     0.27,    21.87,    44.76,    83.17,    86.72,    83.47,    98.69
