"Monthly tabular output of data from lltm_output_mic.csv"
"Output from the NOAA/GLERL Large Lake Thermodynamics Model."
"Evaporation (MM)"
YYYY,     Jan,     Feb,     Mar,     Apr,     May,     Jun,      Jul,     Aug,     Sep,     Oct,     Nov,     Dec
1950,   103.54,    53.61,    46.92,    29.09,    -0.47,    -2.00,     8.19,    46.52,    44.46,    49.19,   136.49,   122.23
1951,    61.85,    36.17,    36.61,     2.99,    -3.17,    -4.91,    -1.25,    23.05,    68.16,    52.99,   114.83,    94.28
1952,    51.93,    33.20,    35.11,    10.84,    -1.09,    -3.60,    10.35,    34.30,    69.43,   124.53,    79.69,    79.01
1953,    74.67,    44.26,    30.29,    17.40,    -0.73,    -0.50,    21.93,    34.93,    90.69,    59.97,    88.57,   125.37
1954,   103.80,    30.69,    59.67,    12.77,     8.92,    -1.27,    17.32,    46.52,    52.05,    72.82,    79.88,   107.80
1955,   104.29,    43.11,    46.68,     0.95,    -0.14,     6.65,    12.48,    56.89,    83.70,    69.55,   139.22,   132.95
1956,    63.45,    45.56,    44.91,    19.37,     0.11,    -0.55,    13.50,    28.18,    75.95,    48.82,   121.55,   100.76
1957,    98.93,    33.05,    26.23,    15.36,    -0.26,    -4.20,     6.99,    47.06,    68.88,    74.74,   107.43,   107.14
1958,    70.74,    60.26,    15.62,    12.90,     5.14,     8.67,    11.81,    49.32,    53.12,    60.80,   108.20,   138.01
1959,    82.52,    41.44,    26.08,     3.34,    -4.84,    -3.98,     4.17,     9.55,    73.84,    80.41,   121.82,    70.55
1960,    69.19,    53.87,    51.02,     4.25,    -2.18,    -4.01,     8.78,    23.54,    58.42,    72.63,    95.07,   140.07
1961,    74.97,    24.92,    19.16,    15.20,     5.01,     5.65,    10.28,    35.69,    66.42,    66.51,    90.04,   122.64
1962,    97.94,    42.33,    17.10,     7.90,    -4.66,    -3.16,    14.49,    27.92,    73.29,    63.01,    70.13,   121.66
1963,    84.30,    43.38,    16.23,     2.43,    -1.01,    -4.42,     3.43,    41.77,    51.83,    39.04,    87.82,   138.33
1964,    67.00,    52.73,    49.49,    11.16,    -4.31,    -0.52,    15.61,    55.60,    63.98,    76.29,    74.35,   115.94
1965,    81.14,    50.41,    34.76,     5.19,    -3.92,    -2.77,    10.33,    36.25,    44.14,    65.20,    76.34,    72.01
1966,    97.20,    32.61,    23.00,    11.89,    10.41,     1.09,    21.62,    48.69,    75.49,    85.02,    95.48,    97.30
1967,    75.39,    63.26,    28.35,    12.02,     5.75,    -3.67,    11.01,    49.08,    68.58,    71.45,    94.13,    87.94
1968,    67.46,    61.25,    21.95,     5.78,     0.66,    -1.06,    13.53,    42.16,    39.64,    74.28,    82.67,   126.27
1969,    75.15,    39.21,    48.11,     6.74,     0.05,     6.37,     8.11,    35.73,    77.00,    84.27,    89.09,   108.22
1970,    82.86,    47.64,    30.76,     9.62,    -2.16,     0.88,    11.41,    44.37,    58.72,    53.76,   101.57,   112.73
1971,   103.42,    38.67,    28.77,    12.81,     1.30,    -2.42,    31.41,    40.59,    43.43,    39.61,   108.54,    90.03
1972,   120.37,    48.31,    42.06,    19.79,     1.24,    16.41,    15.33,    27.04,    60.11,    87.78,    72.41,   100.13
1973,    69.94,    47.82,    11.32,    12.62,     0.31,    -4.29,     5.24,    15.55,    59.70,    45.59,    90.37,   111.50
1974,    70.86,    51.11,    32.04,     7.57,    -0.45,    -3.38,     1.86,    20.60,    65.51,    55.43,    70.17,    83.69
1975,    79.74,    38.79,    39.52,    19.55,    -4.05,    -6.33,     3.69,    22.59,    59.26,    54.09,    65.21,   100.31
1976,   105.19,    29.19,    32.35,    10.19,     1.99,     0.64,    16.79,    40.87,    71.43,    86.36,   114.38,   122.98
1977,    67.09,    29.18,     9.41,     2.88,    -4.23,    -6.23,    -4.71,    16.08,    22.80,    62.82,    86.56,   111.99
1978,    76.63,    38.16,    21.89,     3.34,    -4.84,    -5.97,    -5.81,     3.76,    33.64,    66.58,    84.93,   117.25
1979,    68.56,    40.73,    16.46,     6.33,    -3.82,    -6.60,    -6.88,    -0.85,    23.28,    66.05,    71.54,    81.71
1980,    73.08,    44.57,    28.97,     1.53,    -2.72,    -5.22,    -4.99,     2.66,    45.30,    89.21,    76.96,   112.04
1981,    57.65,    34.78,    18.53,     3.88,     0.99,    -5.88,     3.89,     8.92,    59.71,    71.26,    71.20,   104.74
1982,   104.22,    32.95,    23.28,    12.32,    -5.52,    -4.44,    -7.37,    14.73,    34.10,    52.11,    82.55,    82.27
1983,    71.40,    31.65,    35.07,    18.71,     2.96,    -0.93,     4.40,    24.64,    74.92,    63.77,    96.98,   158.73
1984,    66.55,    21.78,    39.64,     4.23,    -0.49,    -7.21,    -0.70,    14.39,    54.37,    40.27,    85.88,    98.90
1985,    90.78,    38.11,    17.71,     4.24,    -3.90,    -1.03,     5.33,    17.51,    43.00,    53.80,    97.33,   138.46
1986,    54.87,    38.55,    20.29,     4.02,    -2.47,    -4.88,    -5.21,    30.60,    28.87,    53.10,   112.48,    92.52
1987,    59.83,    31.28,    33.74,     9.23,    -2.53,     1.45,     8.60,    40.02,    37.42,   100.48,    75.44,    96.33
1988,   103.30,    63.17,    22.80,    10.43,    -1.75,     1.79,     2.93,    33.00,    47.51,   105.52,    65.70,   121.11
1989,    61.69,    68.09,    34.80,     7.78,    -0.25,    -5.48,    -0.79,    13.13,    60.83,    71.95,   105.88,   115.79
1990,    29.13,    47.36,    32.21,    14.44,    -1.02,    -6.59,     0.03,    12.75,    52.27,    72.71,    76.65,   116.74
1991,    86.23,    35.94,    21.26,     4.58,    -4.81,    -3.87,    12.57,    25.53,    84.12,    62.58,   111.86,    99.13
1992,    62.55,    32.47,    38.36,    16.92,     2.70,     8.72,     8.23,    32.34,    44.22,    71.77,    79.09,   101.29
