"Monthly tabular output of data from lltm_output_ont.csv"
"Output from the NOAA/GLERL Large Lake Thermodynamics Model."
"Evaporation (MM)"
YYYY,     Jan,     Feb,     Mar,     Apr,     May,     Jun,      Jul,     Aug,     Sep,     Oct,     Nov,     Dec
1950,   101.10,    87.11,    57.56,    26.86,    -1.05,    19.93,    42.81,    59.62,    87.38,    61.65,   103.76,   113.29
1951,    89.08,    40.45,    44.35,     9.01,     4.46,    22.74,    50.70,    71.11,    94.67,    69.42,   116.54,   114.75
1952,    82.57,    45.48,    40.13,     5.11,     9.05,    23.42,    49.57,    70.53,    86.06,   128.46,    69.91,    95.47
1953,    89.67,    69.95,    34.54,    20.91,    15.23,    20.95,    60.04,    64.06,   100.06,    63.60,    74.02,   120.67
1954,   125.15,    41.98,    58.67,    13.54,    14.99,    19.49,    52.58,    76.28,    68.23,    63.44,    78.65,   115.55
1955,   125.32,    41.56,    56.26,     0.84,     2.63,    22.81,    52.76,    75.71,    91.80,    63.41,   120.07,   130.27
1956,    86.73,    45.37,    51.22,    13.39,     2.55,     9.30,    37.87,    52.65,    87.85,    58.02,    85.50,    98.65
1957,   104.15,    36.95,    33.01,    16.29,     7.62,    10.79,    48.54,    88.26,    75.06,    76.00,    91.16,    90.82
1958,   103.86,    72.51,    16.73,    11.88,    10.16,    33.91,    26.80,    71.65,    67.22,    83.60,    92.79,   141.95
1959,    88.95,    61.07,    38.82,     5.23,    -2.08,    -1.12,    16.49,    44.10,    93.20,    92.25,   103.60,    87.22
1960,    87.39,    52.17,    57.30,     6.05,    -3.77,     0.80,    36.55,    59.26,    67.10,    92.14,    69.68,   140.78
1961,    95.09,    27.59,    27.33,    11.50,     0.83,     4.93,    15.92,    60.53,    74.15,    80.45,    86.03,   113.28
1962,   116.03,    50.35,    22.04,    11.49,    -2.21,     1.72,    58.40,    48.11,    90.06,    65.14,    78.51,   120.18
1963,    90.85,    53.26,    18.14,     6.98,     0.69,     2.82,    29.29,    70.08,    82.62,    53.65,    68.93,   142.05
1964,    81.58,    61.30,    39.64,    11.29,     0.30,    16.32,    42.58,    78.92,    80.76,    85.24,    75.58,    94.23
1965,   116.27,    56.31,    44.33,    12.64,     0.05,    19.06,    54.34,    69.68,    52.83,    93.35,    75.61,    73.85
1966,   126.20,    40.61,    34.87,    12.99,    15.78,    10.47,    63.17,    72.36,    97.55,    81.97,    61.31,   113.39
1967,    91.66,    87.47,    33.56,    14.94,    11.22,    13.09,    38.94,    70.40,    88.29,    74.89,   109.04,    90.06
1968,    93.77,    81.64,    24.62,     6.90,     0.38,    11.10,    36.65,    66.28,    59.91,    77.38,    83.92,   144.19
1969,   102.68,    48.61,    49.73,     4.95,     1.03,     8.09,    31.79,    70.02,    87.35,    93.35,    76.11,   126.12
1970,    96.90,    52.87,    38.14,    13.04,    -0.09,    14.27,    26.45,    74.26,    65.63,    60.36,    81.39,   117.20
1971,   139.50,    44.53,    50.88,    17.91,    -0.75,    -2.11,    43.82,    64.44,    50.34,    46.87,   113.04,    93.76
1972,   124.66,    69.20,    48.59,    20.51,    -2.34,     4.85,    25.88,    49.87,    71.67,   103.20,    80.56,    76.95
1973,    61.57,    48.06,    18.92,    37.38,    43.65,    46.90,    77.24,    64.18,    77.37,    60.15,    62.97,    64.46
1974,    58.54,    54.88,    42.72,    26.62,    47.19,    56.00,    67.42,    68.17,    76.79,    68.38,    49.69,    50.44
1975,    57.53,    46.32,    46.14,    38.06,    29.09,    57.55,    79.21,    75.67,    69.41,    53.58,    45.71,    72.36
1976,    78.23,    41.65,    34.69,    40.91,    52.79,    51.20,    69.25,    71.93,    70.54,    72.32,    64.46,    82.83
1977,    87.45,    34.26,    28.49,    16.36,    16.79,    52.79,    70.64,    93.32,    78.12,    89.01,    63.47,   112.79
1978,   114.25,    45.97,    30.21,    14.48,     3.37,    38.95,    73.14,    74.58,   100.46,    79.59,    82.44,   103.18
1979,    85.10,    52.98,    22.04,    17.89,     4.65,    26.91,    24.80,    65.19,    74.01,    91.13,    62.98,   110.27
1980,   125.46,    69.84,    41.94,     8.42,     0.32,    21.23,    22.89,    50.96,    98.91,   104.15,    99.52,   138.26
1981,    78.59,    28.59,    31.74,    10.64,    -0.30,     3.67,    35.98,    52.62,   101.41,    76.52,    78.22,   107.84
1982,   121.30,    46.23,    29.19,    30.50,    -2.95,    -3.30,     8.25,    69.09,    46.69,    73.95,    79.57,    81.42
1983,    93.42,    46.41,    41.67,    15.76,    11.34,    13.76,    35.50,    57.81,    90.04,    98.85,    87.42,   143.09
1984,    81.91,    33.19,    54.89,     5.57,     0.77,     1.80,    23.57,    50.45,    88.74,    53.76,    95.11,    95.49
1985,   109.28,    45.19,    35.22,    16.62,    -1.22,     6.15,    27.52,    53.74,    58.08,    81.51,    89.37,   134.35
1986,    77.88,    48.38,    24.24,     5.34,    -0.10,     5.89,    13.03,    75.06,    55.48,    73.05,    95.55,    92.39
1987,    94.26,    51.36,    29.68,     5.99,     2.04,    12.01,    36.25,    82.32,    55.86,    90.27,    93.11,    97.39
1988,   112.53,    64.93,    44.90,    11.03,    -1.71,    19.82,    10.10,    72.60,    73.20,   105.11,    65.13,   118.62
1989,    84.57,    61.23,    43.11,    16.00,    -2.21,    -0.62,    28.66,    62.84,    82.07,    80.21,   109.79,   145.35
1990,    34.87,    55.36,    37.00,    12.16,    -0.49,     0.27,    17.76,    49.45,    92.59,    73.77,    90.13,    97.81
1991,   107.37,    43.43,    35.19,     6.74,    -1.42,    18.44,    45.51,    53.22,   107.81,    64.55,    87.04,   109.57
1992,    97.45,    51.36,    52.65,    14.52,     2.45,    15.34,    33.43,    50.07,    74.56,    81.47,    63.76,    98.49
1993,    94.42,    67.34,    35.02,     6.17,    -2.10,    -1.73,    19.85,    42.48,    97.10,    85.00,    80.20,    97.79
1994,   105.28,    54.28,    20.66,     3.10,    -1.76,    -5.13,     2.58,    52.13,    64.27,    67.74,    84.49,    76.81
1995,    85.63,    69.42,    23.64,    26.41,    -0.68,     3.56,    21.11,    67.76,    85.34,    66.77,   112.16,   132.82
1996,    75.74,    47.23,    44.47,    11.99,     0.18,    -5.49,    11.31,    38.56,    69.43,    80.30,    92.65,    73.30
1997,   104.16,    36.81,    39.49,    17.91,     1.17,    -4.00,    15.95,    47.46,    66.54,    82.72,    82.31,    83.52
1998,    67.53,    25.34,    36.57,     8.71,    -0.69,    12.34,    44.85,    51.54,    73.31,    83.81,    81.17,    93.00
1999,   110.97,    39.66,    42.57,    13.10,     2.03,    11.86,    31.79,    77.14,    68.38,    85.21,    75.66,   103.77
2000,   109.45,    44.71,    27.58,    16.08,     2.81,     8.60,    35.59,    52.80,    86.54,    64.84,    82.64,   132.65
2001,    65.40,    52.32,    39.95,     7.52,     0.97,     3.26,    46.20,    51.33,    79.67,    80.28,    55.12,    82.62
2002,    93.11,    65.76,    53.67,    18.91,     8.45,     4.57,    29.53,    67.70,    64.82,   103.61,    87.06,   100.83
2003,    98.16,    50.60,    27.69,    16.07,    -2.49,    -4.33,     3.32,    49.47,    71.36,    86.58,    74.55,    85.19
2004,   102.86,    35.87,    22.29,     9.91,    -2.04,     3.01,    15.10,    60.04,    79.49,   102.92,    64.19,   100.07
2005,    68.28,    29.51,    29.96,     4.69,     1.65,    -0.80,    32.23,    65.36,    81.74,    85.03,    88.75,   119.42
2006,    60.83,    73.81,    40.39,    10.15,    11.73,    18.53,    35.66,    93.82,    72.87,    90.90,    50.37,    85.26
2007,   100.71,   102.27,    42.50,    18.28,     2.62,    26.36,    47.34,    76.89,    72.29,    67.51,   111.13,   108.72
2008,    88.03,    59.26,    46.75,     7.76,    16.99,    17.26,    49.85,    78.79,    73.92,   102.94,    83.23,   123.32
2009,   100.22,    41.70,    36.10,    12.77,     7.21,     7.96,    42.86,    63.29,    82.38,    80.20,    48.89,   113.11
2010,    95.34,    43.38,    23.44,    14.44,    18.17,    36.22,    51.60,    66.37,    82.58,    86.67,    81.82,   119.16
2011,    96.43,    55.84,    42.12,     9.92,    -2.56,    16.23,    42.09,    83.51,    66.25,    91.52,    63.38,    85.70
2012,    92.74,    65.76,    43.50,    50.34,    12.92,    43.86,    66.87,    86.76,    97.69,    74.67,    96.32,    90.71
2013,   103.24,    76.73,    45.11,    25.02,    26.13,    20.62,    57.42,    61.99,    88.39,    78.42,   112.12,   109.37
2014,   110.97,    49.90,    42.50,     6.49,    -2.89,    -2.85,    35.33,    52.89,    69.86,    71.93,   110.13,    76.56
2015,   113.16,    70.12,    29.56,     4.71,    -3.08,    -2.46,    21.00,    60.45,    70.21,   101.63,    58.23,    52.49
2016,   107.03,    67.88,    30.98,    32.70,    14.56,    37.64,    52.51,    62.44,    92.41,    92.30,    77.15,   119.69
2017,    80.94,    65.82,    61.06,     5.98,    12.97,    26.61,    46.16,    78.33,    60.39,    83.05,    99.53,   128.17
2018,    97.67,    31.64,    48.66,    32.66,    -1.25,    17.07,    49.75,    59.21,    84.73,   108.27,    94.93,    74.25
2019,   119.26,    51.36,    38.49,    10.74,    -2.22,     6.94,    30.19,    85.04,    64.98,    73.65,   115.22,    90.07
2020,    74.57,    57.49,    24.22,    26.17,    24.81,    26.37,    43.92,    86.18,    84.27,    86.57,    74.21,    98.45
