"Monthly tabular output of data from lltm_output_stc.csv"
"Output from the NOAA/GLERL Large Lake Thermodynamics Model."
"Evaporation (MM)"
YYYY,     Jan,     Feb,     Mar,     Apr,     May,     Jun,      Jul,     Aug,     Sep,     Oct,     Nov,     Dec
1950,    31.55,    37.46,    49.89,    46.87,    93.85,   175.25,   168.47,   165.06,   128.24,    75.84,    58.36,    36.31
1951,    36.63,    36.54,    36.11,    44.67,   121.29,   153.07,   175.61,   166.75,   151.88,    80.43,    40.08,    48.14
1952,    31.30,    25.22,    29.95,    54.95,   122.75,   161.35,   216.54,   163.39,   146.42,    95.40,    38.10,    15.21
1953,    23.69,    28.87,    35.04,    68.69,   105.02,   145.22,   197.88,   168.65,   152.51,    87.19,    45.67,    36.70
1954,    45.16,    22.77,    45.10,    50.50,   119.60,   146.63,   187.83,   184.70,   122.46,    89.94,    32.26,    24.74
1955,    42.50,    31.75,    46.78,    64.64,   138.56,   158.60,   200.90,   201.85,   136.68,    91.54,    47.12,    36.37
1956,    34.49,    30.86,    34.70,    58.41,    91.34,   158.91,   169.33,   155.52,   136.29,    73.40,    62.96,    14.22
1957,    48.83,    21.65,    32.31,    44.45,   115.77,   156.06,   172.99,   174.52,   128.19,    79.80,    39.99,    21.92
1958,    43.00,    61.69,    30.69,    75.41,   120.49,   142.98,   168.34,   171.22,   126.08,    84.19,    53.45,    49.05
1959,    57.64,    43.53,    35.95,    58.50,   100.21,   171.04,   187.68,   170.70,   145.68,    92.23,    37.60,    13.50
1960,    30.01,    36.20,    48.34,    49.07,    98.95,   151.81,   183.03,   162.74,   138.93,    82.63,    38.84,    53.71
1961,    46.70,    24.72,    35.76,    53.02,   108.63,   137.69,   171.70,   167.26,   154.09,    79.85,    43.92,    33.72
1962,    62.41,    40.80,    36.37,    54.15,   123.96,   151.70,   188.01,   152.26,   144.88,    75.67,    24.08,    51.66
1963,    69.47,    57.97,    25.39,    69.25,   105.38,   144.84,   202.07,   175.04,   123.34,    78.69,    48.19,    49.40
1964,    38.32,    32.08,    40.36,    46.87,   137.08,   131.30,   208.95,   157.88,   139.96,    69.58,    49.23,    29.36
1965,    52.38,    51.51,    39.64,    41.75,   124.41,   155.50,   177.35,   154.63,   108.31,    84.61,    36.61,    14.13
1966,    61.55,    33.81,    37.25,    51.27,   107.91,   128.98,   207.44,   163.63,   149.25,    78.45,    30.99,    30.02
1967,    35.43,    52.98,    28.92,    69.89,   106.58,   142.28,   162.96,   174.14,   130.28,    69.36,    35.96,    19.57
1968,    48.93,    59.30,    33.46,    86.22,   103.59,   138.92,   190.18,   173.33,   125.28,   108.58,    40.23,    48.90
1969,    52.25,    37.69,    69.37,    97.73,   153.61,   194.71,   229.65,   208.43,   171.01,    89.56,    34.45,    35.79
1970,    62.10,    50.83,    33.66,    42.11,   123.21,   155.54,   156.73,   185.83,   133.38,    66.80,    54.14,    33.61
1971,    72.41,    43.30,    39.17,    65.94,   106.73,   135.96,   204.72,   164.95,   115.20,    84.26,    73.59,    15.22
1972,    57.30,    47.06,    45.51,    55.55,   122.95,   141.91,   172.48,   161.17,   136.95,    84.68,    29.26,    23.91
1973,    40.37,    39.89,    24.08,    62.98,    76.30,   134.43,   164.19,   143.24,   136.95,    74.27,    42.10,    39.93
1974,    33.81,    47.38,    35.84,    39.00,    88.46,   134.56,   171.13,   150.44,   119.37,    61.40,    42.73,    15.77
1975,    34.02,    32.36,    37.03,    41.21,    85.83,   137.87,   175.71,   149.86,   115.54,    76.19,    38.84,    32.04
1976,    58.37,    33.14,    36.24,    68.45,    82.35,   142.15,   168.03,   152.35,   115.53,    80.44,    36.42,    64.85
1977,    89.45,    36.61,    31.47,    60.88,   109.34,   144.63,   174.77,   146.52,   118.84,    75.57,    48.65,    40.95
1978,    69.69,    51.40,    35.07,    49.87,    70.38,   143.55,   172.44,   136.87,   130.37,    71.81,    39.61,    26.33
1979,    58.48,    66.68,    25.45,    42.08,    92.52,   127.70,   147.05,   142.58,   119.17,    80.95,    33.91,    17.82
1980,    39.74,    47.58,    31.95,    45.17,    84.94,   133.33,   157.53,   148.48,   141.46,    84.22,    27.39,    36.70
1981,    50.54,    34.32,    30.60,    58.63,    83.59,   137.40,   170.02,   136.22,   130.29,    59.84,    35.27,    32.06
1982,    83.10,    41.69,    31.77,    56.26,    76.90,   141.98,   150.82,   154.87,    96.46,    80.91,    39.41,    18.72
1983,    26.07,    20.30,    34.21,    37.71,    90.71,   121.14,   174.52,   160.05,   137.55,    84.60,    34.72,    57.64
1984,    45.26,    28.78,    38.73,    41.27,    93.09,   134.76,   153.65,   156.45,   115.38,    60.38,    44.63,    18.41
1985,    62.56,    38.73,    28.63,    46.22,   108.17,   131.64,   158.63,   138.28,   118.28,    73.04,    40.94,    54.01
1986,    39.81,    31.52,    26.65,    52.51,    80.40,   147.17,   162.22,   163.67,    81.74,    87.23,    42.37,    18.49
1987,    28.78,    26.43,    30.57,    52.37,    79.11,   165.22,   171.80,   173.79,   102.36,    70.75,    32.95,    17.28
1988,    44.22,    47.22,    25.36,    57.24,    80.32,   162.56,   144.83,   183.99,   102.59,    85.93,    20.86,    32.09
1989,    21.05,    41.37,    30.53,    44.42,    79.80,   126.27,   159.81,   154.71,   129.26,    58.22,    45.86,    44.30
1990,    11.68,    24.64,    29.87,    35.16,   109.15,   119.25,   159.05,   135.31,   130.74,    76.77,    31.37,    27.08
1991,    39.82,    23.40,    29.10,    44.96,    83.21,   172.64,   193.19,   141.88,   146.12,    58.28,    42.43,    24.36
1992,    38.38,    25.40,    36.28,    43.04,   101.82,   124.96,   153.79,   141.14,   117.35,    68.97,    29.67,    27.38
1993,    33.79,    48.53,    27.60,    51.00,   105.89,   123.66,   179.53,   143.20,   132.61,    70.59,    30.26,    33.70
1994,    77.34,    58.57,    29.79,    58.10,    92.85,   146.87,   162.36,   148.37,   121.25,    73.16,    49.65,    16.51
1995,    37.79,    54.17,    34.73,    52.94,    85.38,   131.81,   179.77,   172.99,   132.33,    81.53,    44.27,    45.71
1996,    50.38,    49.69,    50.89,    47.82,    86.71,   109.88,   183.48,   153.31,   135.65,    77.14,    40.76,    21.06
1997,    58.99,    24.88,    29.57,    50.47,    95.11,   121.44,   192.06,   146.18,   118.23,    91.93,    29.48,    15.47
1998,    16.41,     7.96,    28.73,    69.74,   105.27,   134.16,   194.27,   150.17,   132.82,    84.39,    37.37,    42.87
1999,    58.69,    24.21,    38.26,    59.85,    96.34,   142.55,   173.44,   178.77,   124.72,    76.67,    40.00,    34.31
2000,    47.53,    27.14,    38.51,    60.00,   106.90,   142.96,   156.21,   142.79,   142.24,    62.35,    52.74,    57.17
2001,    31.78,    35.65,    33.54,    50.11,   112.89,   119.85,   182.35,   170.18,   133.60,    78.21,    25.99,    42.08
2002,    21.36,    32.42,    43.48,    55.65,    77.79,   131.54,   185.51,   172.63,   134.29,    98.56,    33.95,    32.93
2003,    76.68,    66.19,    42.38,    56.51,   103.23,   133.63,   183.00,   170.30,   145.55,    68.40,    42.54,    23.71
2004,    78.98,    33.64,    33.64,    65.62,   104.54,   156.15,   163.29,   147.22,   141.84,    73.75,    48.09,    42.42
2005,    43.65,    20.55,    24.94,    68.30,    79.72,   138.02,   197.14,   164.74,   143.60,    82.73,    44.39,    29.89
2006,    11.05,    36.82,    25.74,    56.26,    77.76,   154.36,   157.93,   184.57,   113.41,    69.82,    19.99,    21.52
2007,    28.54,    60.48,    26.62,    47.73,    93.18,   177.33,   156.25,   165.00,   123.34,    94.01,    47.64,    24.95
2008,    45.00,    42.83,    31.67,    61.32,    99.52,   132.59,   171.38,   163.88,   122.76,    93.00,    35.21,    44.33
2009,    60.60,    37.52,    36.48,    56.74,   112.35,   125.26,   147.13,   160.80,   113.15,    58.61,    30.80,    39.09
2010,    45.17,    27.29,    29.63,    65.77,    85.22,   165.54,   177.14,   165.62,   129.47,    79.48,    32.34,    48.47
2011,    45.16,    45.66,    29.32,    45.69,    73.05,   162.14,   178.51,   183.71,   120.39,    78.58,    39.22,    18.38
2012,    27.00,    23.15,    39.80,    84.69,   103.07,   160.08,   201.86,   166.14,   141.74,    81.62,    29.45,    16.41
2013,    39.67,    34.27,    31.17,    47.23,   107.38,   146.10,   190.17,   141.55,   136.40,    97.25,    47.63,    38.21
2014,    80.46,    59.28,    44.49,    50.41,    89.92,   153.20,   193.93,   144.26,   122.06,    84.22,    50.36,    16.31
2015,    61.08,    73.21,    41.64,    59.03,   107.51,   146.81,   173.28,   168.68,   138.17,    89.30,    44.22,    13.47
2016,    41.19,    32.47,    26.99,    72.45,    97.98,   181.33,   180.53,   178.74,   150.38,    87.66,    41.39,    39.95
2017,    26.98,    24.86,    43.24,    59.60,   101.95,   165.32,   177.89,   169.54,   116.84,    99.68,    32.28,    43.75
2018,    50.62,    26.69,    43.90,    47.54,    87.16,   160.38,   204.55,   171.42,   140.09,    82.57,    35.31,     8.68
2019,    51.44,    32.18,    39.14,    55.71,    71.38,   137.47,   193.92,   177.62,   114.20,    87.57,    36.64,    16.61
