"Monthly tabular output of data from lltm_output_sup.csv"
"Output from the NOAA/GLERL Large Lake Thermodynamics Model."
"Evaporation (MM)"
YYYY,     Jan,     Feb,     Mar,     Apr,     May,     Jun,      Jul,     Aug,     Sep,     Oct,     Nov,     Dec
1950,    60.89,    18.89,    13.62,    13.42,     4.35,    -5.25,    -6.41,    -3.66,     1.78,    32.44,   105.57,    67.80
1951,    26.28,     5.19,     0.25,     2.76,     0.87,    -4.63,    -6.36,    -5.08,    29.74,    65.79,   114.47,    83.44
1952,    31.30,    11.29,    11.89,     7.64,     0.12,    -6.03,    -7.73,    -5.94,    16.93,    94.24,    92.55,    83.23
1953,    60.90,    23.98,    18.37,    21.73,     2.47,    -6.78,    -6.79,    -7.51,    30.54,    54.18,    93.81,   106.15
1954,    62.79,    21.15,    39.59,    11.40,     3.76,    -5.78,    -5.98,    -0.44,    29.95,    62.79,    67.22,    88.54
1955,   101.29,    74.02,    72.73,     2.43,     0.38,    -5.40,    -7.23,    14.36,    61.62,    53.85,   130.84,   130.80
1956,    89.52,    66.10,    41.10,    27.23,     8.63,    -4.83,    -5.86,    -2.83,    49.68,    45.32,   120.55,   107.90
1957,    75.27,    19.58,    17.31,    10.61,     3.34,    -4.79,    -6.25,    -2.10,    37.89,    57.96,   112.67,    90.77
1958,    59.45,    39.52,    17.11,    15.64,     5.26,    -2.66,    -6.84,     0.75,    33.96,    56.96,   120.91,   120.52
1959,    63.50,    20.92,    15.97,    11.73,     0.45,    -4.65,    -6.05,    -6.48,    24.84,    74.69,   124.26,    85.49
1960,    63.99,    30.51,    22.75,     8.98,     2.95,    -3.45,    -5.13,    -4.88,    36.77,    63.36,   109.56,   116.10
1961,    63.36,    22.69,    16.70,    18.24,     5.86,    -3.82,    -6.07,    -2.57,    44.01,    64.35,    94.61,   107.36
1962,    81.08,    26.95,    17.24,    17.82,    -0.80,    -3.82,    -4.68,    -3.51,    36.38,    59.66,    84.01,   111.19
1963,    65.35,    20.29,    13.10,    14.71,     3.72,    -4.89,    -5.87,    -4.61,    17.78,    23.79,    75.84,   125.71
1964,    73.80,    61.22,    65.33,    16.38,    -2.16,    -3.48,    -1.93,    29.79,    54.62,    69.64,    86.19,   119.43
1965,   114.25,    57.98,    33.97,     9.07,    -1.61,    -3.39,    -2.67,    17.32,    53.44,    63.81,   104.16,    91.80
1966,   120.76,    40.79,    35.18,    15.85,    11.73,    -5.30,    -4.36,    12.41,    65.29,    86.69,   114.82,   119.73
1967,    88.13,    63.31,    31.88,    12.54,     6.86,    -5.46,    -5.07,    10.13,    47.05,    72.91,    97.78,   104.56
1968,    91.16,    70.28,    27.52,     7.46,     1.29,    -4.80,    -4.02,    15.15,    25.32,    63.40,    96.54,   123.99
1969,    95.13,    60.70,    61.12,    10.00,     2.51,    -3.12,    -2.35,    10.20,    60.55,    77.49,    93.20,   118.19
1970,   108.48,    71.11,    45.30,    15.48,     1.75,    -4.09,    -5.70,    12.70,    43.17,    50.70,    92.85,   122.37
1971,   123.72,    54.08,    40.84,    15.05,     1.24,    -4.95,     0.07,    15.24,    37.08,    50.48,   107.04,   115.36
1972,   131.17,    64.52,    42.52,    18.98,    -1.38,    -3.16,    -4.67,     3.99,    52.38,    87.95,    73.01,   115.39
1973,    75.88,    64.11,    16.98,    19.07,     3.19,    -5.98,    -0.59,     5.28,    59.64,    52.34,   104.35,   118.25
1974,   102.83,    72.82,    59.08,    14.31,     4.85,    -4.55,    -3.96,    14.53,    60.49,    59.01,    79.66,    92.57
1975,   107.68,    62.29,    65.21,    28.74,    -2.13,    -5.07,    -1.56,    18.52,    59.48,    61.32,    78.36,   115.18
1976,   117.69,    57.52,    56.59,    12.61,     6.85,    -1.40,    11.77,    41.96,    77.05,    84.76,   123.55,   140.49
1977,   114.79,    48.71,    21.08,    11.36,    -2.35,    -4.26,    -1.06,    27.59,    38.28,    79.29,    94.23,   113.05
1978,   101.01,    37.34,    27.38,    19.96,     0.50,    -3.36,    -5.63,    -4.15,    19.92,    55.09,    99.85,    89.32
1979,    74.01,    25.22,    19.09,    11.17,     2.30,    -4.08,    -5.20,    -5.15,     4.85,    46.71,    70.17,    84.44
1980,    69.14,    33.40,    22.61,     7.38,    -0.25,    -2.84,    -4.62,    -5.52,    21.47,    75.22,    79.51,   112.60
1981,    53.49,    22.15,    23.04,    12.20,     2.06,    -4.33,    -4.92,    -4.67,    24.39,    60.52,    74.85,    89.58
1982,    85.70,    24.65,    22.47,    17.11,    -1.94,    -1.81,    -4.52,    -2.84,    11.42,    42.45,    81.82,    85.49
1983,    74.71,    38.50,    42.14,    19.54,     7.24,    -2.03,    -3.59,    -0.41,    43.57,    63.92,   101.92,   126.08
1984,    72.23,    30.80,    44.14,     8.03,     1.85,    -3.89,    -4.26,    -2.21,    38.80,    46.37,    91.47,   103.93
1985,    86.90,    33.02,    28.12,    11.56,    -1.93,    -3.83,    -5.60,     1.22,    41.71,    55.22,   127.01,   145.56
1986,    71.25,    34.31,    27.76,    10.32,     0.05,    -3.58,    -6.89,    -0.42,    19.39,    58.93,   122.32,    97.37
1987,    92.55,    53.80,    48.70,    12.29,     2.94,    -3.72,    -5.24,    20.67,    35.27,   111.20,   106.70,   115.36
1988,   137.58,    70.15,    43.16,    13.85,     0.93,    -3.33,    -4.90,     0.90,    38.15,    96.00,    99.12,   142.57
1989,    93.32,    71.02,    35.94,    17.21,     0.12,    -4.39,    -4.93,    -4.63,    33.28,    66.26,   144.21,   138.85
1990,    61.64,    53.36,    37.64,    22.79,     4.31,    -3.22,    -3.42,    -3.05,    18.25,    57.17,    96.65,   132.40
1991,    98.94,    42.44,    33.62,     9.98,    -0.57,    -4.63,    -5.74,    -0.56,    57.94,    72.19,   128.99,   109.79
1992,    90.15,    55.96,    46.13,    19.53,     1.79,    -1.73,    -5.37,     0.18,    40.78,    70.01,   108.06,   137.35
1993,    94.56,    57.64,    31.39,    16.23,    -0.84,    -4.99,    -7.91,    -5.17,    44.83,    79.45,   108.22,    98.78
1994,   103.84,    35.45,    26.37,    15.57,    -0.29,    -4.20,    -6.45,    -3.64,    13.73,    51.84,    92.23,    84.05
1995,   106.83,    91.75,    35.72,    28.26,     0.75,    -4.19,    -6.25,     1.30,    55.10,    71.50,   152.21,   132.14
1996,   101.12,    42.68,    36.32,    19.86,     2.97,    -4.39,    -6.42,    -6.14,    13.19,    52.61,    83.35,    86.01
1997,    89.07,    42.18,    32.87,    15.67,     3.15,    -4.38,    -5.01,     2.10,    29.62,    62.68,    79.51,    72.58
1998,    76.27,    23.47,    52.66,     9.75,     0.21,     0.91,    16.82,    26.83,    64.20,    75.44,    99.48,   127.20
1999,   120.52,    62.55,    51.16,    10.02,    -0.11,    -1.01,     0.45,    32.81,    58.26,    94.43,    89.18,   116.90
2000,   112.72,    57.71,    33.05,    26.59,     0.61,    -2.50,     5.32,    17.31,    65.60,    61.78,    92.31,   145.35
2001,    79.65,    75.31,    39.40,     5.50,    -1.14,    -4.04,    -2.47,     8.76,    51.67,    72.09,    58.88,    89.64
2002,   112.24,   152.77,   125.75,    30.48,    14.56,    -8.41,    -8.21,    -2.94,    27.33,   108.85,   117.54,   123.51
2003,   140.53,    56.15,    29.95,    24.55,    -1.17,    -4.97,    -8.63,    -2.25,    39.41,    68.99,   123.13,   110.49
2004,   137.97,    33.89,    29.06,    12.04,     2.04,    -4.28,    -6.23,    17.19,    21.71,    75.41,   102.55,   160.26
2005,    89.58,    46.97,    46.23,     8.41,     3.49,    -4.78,     4.95,    27.18,    48.32,    66.01,   107.04,   108.23
2006,    79.21,    88.16,    45.09,    12.26,     2.98,     7.12,    17.56,    56.99,    78.22,   103.34,    79.26,    89.67
2007,   103.30,    98.74,    46.38,    30.91,     2.05,     0.60,    10.72,    45.48,    55.75,    66.32,   105.73,   102.31
2008,   135.03,    89.85,    58.51,    22.22,     6.59,    -2.03,    13.37,    46.29,    63.51,    98.56,   114.16,   174.11
2009,    81.97,    43.13,    30.80,    11.77,     4.70,    -0.70,    10.47,    40.23,    46.43,    87.55,    50.37,   110.48
2010,   129.38,    71.73,    30.07,    17.19,     7.15,    17.86,    21.75,    57.28,    90.87,    96.19,   127.20,   159.13
2011,    92.89,    64.79,    42.83,    16.12,     3.61,     3.43,    15.16,    50.39,    77.57,    74.68,    83.11,   100.76
2012,    93.96,    66.28,    27.54,    25.38,    16.11,    16.96,    29.72,    66.43,    94.20,    91.69,    95.94,   101.82
2013,   175.19,   103.53,    76.56,    42.23,     7.52,    -3.75,     9.68,    19.90,    61.21,    97.49,   154.76,   189.09
2014,   121.38,    43.31,    26.99,    16.74,    -2.67,    -7.05,    -7.96,    -2.83,    41.28,    66.07,   151.37,   102.80
2015,    75.40,    49.34,    24.69,    10.22,    -0.39,    -2.91,    -3.72,    14.81,    36.36,    79.01,    65.59,    78.67
2016,    99.24,    74.79,    34.03,    33.41,     4.74,     8.26,    21.38,    41.68,    58.81,    81.63,    75.41,   144.17
2017,   146.83,   103.50,    88.53,    21.91,     7.83,     0.03,    15.50,    44.16,    43.91,   104.77,   162.60,   180.98
2018,   121.69,    76.67,    52.23,    50.32,     0.16,    -5.24,    -5.35,    15.24,    62.26,   108.43,   135.58,   111.12
2019,   125.94,    56.98,    38.42,    11.38,     0.93,    -4.79,    -6.70,    21.83,    33.37,    93.79,   139.73,   128.77
2020,    91.77,    98.58,    45.70,    38.38,    13.85,    -6.24,    -4.32,    23.12,    65.78,   124.84,   109.67,   129.62
