Monthly data for lake:, geo
Subbasin:, Overbasin (lake+land)
DataType:, Precipitation
DataType:, Sum of daily precipitation values
Units:, mm
YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
1940,    69.290,    30.790,    44.370,    41.570,   104.500,    88.240,    70.960,   106.130,    77.620,    51.340,   102.580,    63.320
1941,    62.450,    52.430,    28.970,    65.570,    51.230,    41.900,   104.320,    72.130,    91.090,   135.970,    99.060,    72.060
1942,    74.700,    34.940,    84.660,    40.810,   100.440,    50.630,    50.150,    40.480,   138.350,    62.360,    76.840,    94.900
1943,    58.330,    58.940,    89.150,    50.570,    83.360,   123.390,    61.260,    90.460,    78.510,    43.810,    86.000,    44.790
1944,    35.240,    46.050,    81.620,    39.300,    41.410,    92.830,    97.580,    47.080,   132.250,    51.550,    73.100,    77.730
1945,    63.020,    58.140,    49.200,    61.920,   114.880,    57.970,    60.240,    68.160,   106.630,    95.300,    75.440,    57.010
1946,    85.440,    61.730,    35.730,    37.790,    86.980,    41.070,    44.260,    77.100,    67.230,    55.660,    79.770,    98.140
1947,    66.690,    43.870,    66.430,    94.820,    96.380,    81.710,    96.590,    37.670,   108.480,    23.380,    79.860,    61.130
1948,    63.110,    37.990,    76.340,    68.430,    65.010,    52.980,    73.090,    48.320,    33.380,    80.440,   116.940,    55.240
1949,    86.300,    69.780,    70.570,    33.990,    59.590,    95.550,    59.080,    37.540,    77.610,    54.900,    69.210,    95.630
1950,   103.410,    60.670,    66.940,    62.640,    42.810,    60.390,    64.210,    92.060,    40.610,    52.260,   121.130,    61.800
1951,    68.350,    71.340,    97.000,    91.960,    35.450,    80.890,    89.530,    82.880,   102.590,   143.490,    77.680,    89.430
1952,    63.950,    34.010,    63.190,    56.220,    65.520,    61.510,    90.850,   113.720,    82.400,    23.850,   106.180,    55.220
1953,    87.500,    72.860,    91.630,    65.070,    58.640,    60.970,    76.290,    54.470,   102.230,    27.970,    58.160,    87.440
1954,    58.730,    61.200,    75.330,   102.690,    70.810,   114.460,    57.930,    74.930,   148.710,   146.460,    55.480,    55.170
1955,    68.490,    44.030,    60.170,    57.150,    65.900,    36.140,    65.820,    92.910,    43.730,   137.850,    85.650,    63.840
1956,    26.440,    44.270,    47.130,    53.170,    85.020,    69.590,   114.200,    87.530,   107.380,    34.030,    84.360,    61.140
1957,    68.760,    46.800,    29.140,    74.880,    65.560,   146.940,    58.180,    33.060,   134.920,    85.140,   103.880,    98.030
1958,    48.530,    32.470,    19.370,    26.490,    35.140,    69.700,    84.210,    53.240,    94.760,    73.620,    80.930,    87.220
1959,    64.500,    65.010,    50.090,    68.730,    72.730,    50.720,    64.860,   125.680,   113.840,   118.060,   101.580,    68.590
1960,    76.540,    63.040,    35.550,    88.150,   130.330,   119.020,   101.140,    49.410,    75.770,    72.460,    80.820,    58.310
1961,    30.040,    29.940,    51.850,    57.710,    47.240,   101.290,    86.670,    76.080,   136.210,    40.240,    63.560,    80.620
1962,    99.480,    65.270,    17.510,    50.890,    80.780,    48.760,    42.930,    65.630,    88.640,    74.960,    30.030,    85.340
1963,    61.440,    41.350,    71.850,    57.930,    71.400,    50.360,    66.510,   102.400,    67.840,    27.300,    77.490,    68.610
1964,    76.280,    33.320,    52.540,    60.410,    61.690,    48.010,    58.420,    97.110,   109.810,    47.240,    82.360,    91.070
1965,    85.560,    92.030,    35.410,    43.330,    50.070,    49.760,    83.670,   126.980,   151.720,    82.010,    97.860,    81.220
1966,    51.480,    43.420,    61.560,    41.610,    47.550,    62.790,    41.560,    94.750,    75.810,    86.310,   154.030,    86.040
1967,   101.620,    64.620,    36.170,    85.410,    49.000,   119.880,    61.750,   106.010,    73.420,    99.560,   117.210,    80.960
1968,    44.600,    67.500,    38.590,    63.860,    61.960,    99.570,    77.620,    99.170,   105.700,    71.610,    65.160,   102.770
1969,    76.930,    23.080,    39.400,    80.260,    78.640,   109.530,    80.070,    47.690,    63.770,   132.970,   109.710,    57.910
1970,    65.490,    37.750,    50.750,    63.030,   106.430,    66.270,   157.910,    49.000,   154.540,    82.700,    63.310,    79.320
1971,    96.820,    89.720,    66.830,    39.120,    68.510,    57.660,    80.430,    78.020,    68.200,    54.100,    77.220,   105.400
1972,    86.120,    76.960,    71.070,    57.170,    64.840,    77.180,    88.030,   138.090,    78.150,    60.550,    57.950,   107.920
1973,    61.470,    39.200,    69.990,    50.940,   117.200,    94.300,    93.140,    98.330,    48.610,    86.160,    75.960,    70.930
1974,    91.040,    53.350,    45.990,    84.310,    81.720,    75.280,    63.880,    76.890,   110.380,    95.560,    67.380,    50.750
1975,   116.760,    71.730,    54.340,    56.640,    57.740,    67.420,    68.050,    62.760,    91.600,    48.290,   102.000,    62.670
1976,    82.230,    79.190,   110.130,    26.610,    84.560,    71.520,    59.620,    58.260,    96.840,    57.900,    65.020,    68.740
1977,    80.150,    65.570,    79.710,    52.850,    29.550,    54.780,    97.470,   120.750,   124.990,    73.400,   120.430,    99.890
1978,    78.730,    19.350,    40.300,    42.680,    71.480,    70.140,    85.540,   112.540,   137.250,    71.940,    69.900,    95.370
1979,    92.400,    46.670,    91.370,   111.930,    73.480,   102.050,    69.000,   101.030,    58.160,   130.510,    99.600,    78.660
