Monthly data for lake:, hur
Subbasin:, Overbasin (lake+land)
DataType:, Precipitation
DataType:, Sum of daily precipitation values
Units:, mm
YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
1940,    63.210,    31.510,    39.900,    47.160,    87.920,    92.940,    50.940,   117.130,    78.230,    70.200,    81.720,    68.920
1941,    57.210,    34.640,    33.730,    55.510,    60.360,    41.100,    64.180,    73.620,    95.330,   150.150,    82.360,    56.410
1942,    58.570,    31.990,    93.650,    37.960,   125.450,    69.500,    79.520,    54.210,   133.140,    72.670,    69.940,    84.920
1943,    64.610,    60.390,    82.260,    67.410,   101.980,   104.270,    70.020,    78.920,    58.100,    50.080,    83.300,    31.770
1944,    30.870,    41.310,    67.990,    46.170,    58.050,    93.070,    71.780,    51.230,    99.350,    31.710,    79.210,    53.070
1945,    42.080,    42.350,    41.960,    81.790,   137.420,   106.430,    66.970,    65.680,   133.260,    90.530,    60.070,    58.180
1946,    72.840,    59.380,    35.200,    21.630,    86.440,    71.520,    46.370,    55.610,    63.280,    38.120,    52.910,    87.810
1947,    68.020,    48.570,    57.190,    90.580,   125.500,    64.770,    95.920,    40.600,   106.740,    28.580,    69.790,    46.610
1948,    48.950,    43.190,    93.840,    66.400,    58.850,    79.050,    55.650,    33.200,    27.580,    43.980,    91.950,    50.410
1949,    75.030,    62.150,    48.500,    45.010,    49.210,    87.140,    74.200,    54.120,    69.700,    54.920,    56.520,    92.020
1950,    93.820,    77.040,    66.080,    72.330,    33.480,    77.770,   105.330,    76.520,    86.190,    53.860,    86.060,    66.120
1951,    72.820,    57.140,    70.960,    96.490,    44.700,    67.880,   102.390,    83.350,    85.280,   118.930,    82.540,    86.050
1952,    68.990,    35.940,    59.080,    71.670,    68.650,    47.650,   129.060,    81.550,    54.960,    16.260,    87.900,    55.730
1953,    53.670,    58.170,    70.300,    71.330,    99.330,    72.540,    86.260,    69.830,    89.980,    38.750,    45.770,    62.320
1954,    45.730,    63.140,    69.630,    99.240,    46.440,   121.190,    42.450,    52.110,   113.790,   158.210,    55.730,    54.960
1955,    52.280,    45.450,    53.130,    62.190,    66.570,    45.860,    54.240,    83.770,    22.840,    86.670,    76.650,    56.520
1956,    25.960,    48.900,    53.740,    82.780,    95.500,    71.120,    94.020,   123.130,    52.750,    19.000,    60.680,    57.220
1957,    52.370,    33.880,    35.980,    79.370,    82.830,   111.300,    88.520,    33.200,   100.460,    80.740,    78.200,    69.240
1958,    42.980,    33.110,    12.380,    39.070,    29.480,    64.420,    64.880,    67.000,    83.900,    58.380,    83.380,    51.260
