Monthly data for lake:, mic
Subbasin:, Overbasin (lake+land)
DataType:, Precipitation
DataType:, Sum of daily precipitation values
Units:, mm
YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
1940,    50.740,    25.770,    32.450,    58.540,   100.540,   134.860,    51.630,   149.620,    45.490,    66.730,    82.740,    44.310
1941,    46.050,    28.790,    32.220,    56.400,    84.510,    58.280,    59.780,    99.570,   139.750,   151.350,    66.810,    44.310
1942,    39.290,    24.710,    80.760,    38.070,   130.900,   102.940,    97.440,    66.560,   129.110,    63.070,    68.390,    73.320
1943,    52.180,    37.110,    71.300,    54.000,   121.690,   122.490,    71.090,    85.000,    47.080,    47.780,    67.800,    13.930
1944,    27.800,    39.180,    64.780,    61.650,    76.430,   110.330,    62.290,    68.770,    91.510,    25.350,    66.140,    33.340
1945,    23.200,    46.480,    39.940,    90.800,   123.470,   104.530,    67.490,    92.050,   126.050,    53.440,    92.500,    40.280
1946,    57.100,    32.460,    52.100,    21.330,    81.800,   104.040,    38.180,    53.860,    70.310,    50.220,    68.680,    57.230
1947,    47.170,    26.740,    37.700,   125.950,   119.290,    81.150,    65.780,    71.540,   109.600,    29.480,    60.220,    36.710
1948,    33.800,    43.000,    82.300,    72.260,    70.010,    79.950,    65.490,    43.330,    48.380,    29.050,    99.640,    46.800
1949,    63.490,    43.610,    54.890,    42.100,    61.040,   108.120,   110.850,    52.950,    63.440,    54.470,    54.230,    65.100
1950,    84.040,    49.260,    64.520,   103.530,    45.950,    95.270,   116.070,    63.450,    68.390,    34.750,    57.250,    58.070
1951,    41.010,    46.030,    71.930,   100.760,    60.730,    85.160,   113.130,    93.520,    89.770,   116.460,    66.660,    58.980
1952,    58.780,    18.490,    63.160,    54.110,    80.820,    75.650,   154.440,    87.330,    35.200,    13.630,    72.940,    47.450
1953,    40.120,    61.920,    47.550,    88.770,    66.550,    99.280,    84.480,    71.760,    54.420,    28.770,    32.580,    50.130
1954,    35.770,    50.740,    58.820,   118.850,    64.270,   141.430,    79.710,    60.730,   111.190,   143.550,    37.650,    40.130
1955,    31.890,    33.670,    48.610,    66.860,    72.230,    73.490,    67.780,    72.220,    36.010,    99.020,    55.570,    33.960
1956,    15.230,    29.960,    52.850,    76.410,   101.330,    74.920,   106.270,    93.530,    36.880,    14.400,    60.040,    32.770
1957,    31.410,    26.720,    33.310,    83.850,   103.030,    86.310,    79.500,    75.280,    59.990,    60.610,    90.010,    51.310
1958,    28.270,    19.510,    14.820,    54.430,    43.390,    79.360,    87.790,    89.020,    84.760,    53.970,    68.780,    24.030
1959,    45.400,    46.490,    62.540,    83.050,    82.530,    41.190,    90.520,   128.910,   106.370,   127.550,    61.060,    63.510
1960,    59.670,    49.230,    31.070,    93.870,   138.850,    98.530,    93.090,    99.430,    82.810,    57.960,    64.540,    17.590
1961,    15.750,    33.310,    70.190,    68.740,    43.780,    82.200,    84.530,    67.350,   164.210,    73.010,    64.980,    42.880
1962,    56.310,    51.830,    31.440,    50.130,    69.150,    76.170,    74.320,    82.990,    70.890,    63.270,    21.630,    42.780
1963,    28.690,    19.260,    59.340,    51.910,    76.350,    58.080,    81.950,    67.630,    69.320,    25.490,    60.050,    40.770
1964,    32.950,    13.940,    51.750,    90.330,    88.260,    47.920,   100.450,    96.450,   107.420,    24.520,    63.780,    39.280
1965,    60.250,    40.500,    56.380,    85.290,    79.420,    63.330,    55.890,   112.550,   182.850,    56.140,    72.840,    77.990
1966,    36.730,    37.500,    76.320,    69.990,    52.400,    58.490,    61.540,    90.920,    45.870,    53.300,    98.420,    64.410
1967,    66.830,    41.020,    32.770,   108.200,    56.410,   142.170,    47.170,    72.690,    50.990,   113.100,    58.200,    58.690
