Monthly data for lake:, ont
Subbasin:, Overbasin (lake+land)
DataType:, Precipitation
DataType:, Sum of daily precipitation values
Units:, mm
YYYY,       Jan,       Feb,       Mar,       Apr,       May,       Jun,       Jul,       Aug,       Sep,       Oct,       Nov,       Dec
1940,    57.390,    68.760,    76.000,    73.850,   104.760,    91.460,    72.370,    48.200,    76.100,    46.980,   102.130,    97.170
1941,    57.550,    49.130,    49.690,    32.620,    38.660,    40.710,   107.100,    79.530,    52.850,   113.940,    63.880,    70.880
1942,    58.560,    69.610,    96.170,    58.440,   118.780,    48.370,    88.630,    53.680,   113.970,    73.000,    86.100,   125.960
1943,    56.970,    58.950,    81.910,    84.570,   145.330,    74.400,    76.220,    92.920,    49.610,   113.170,    65.970,    27.380
1944,    30.070,    59.830,    70.700,    88.440,    69.960,    97.870,    70.970,    47.100,    82.670,    39.090,    59.740,    98.650
1945,    59.310,    64.770,    80.960,    93.930,   123.230,    81.300,   125.030,    54.740,   153.000,   118.580,   102.300,    50.570
1946,    57.350,    63.410,    34.150,    36.350,    93.710,    66.080,    64.230,    65.160,    83.050,   110.270,    74.770,    89.770
1947,   117.120,    45.690,    91.130,    81.910,   133.900,   113.420,   151.360,    51.180,    70.850,    22.490,    75.810,    63.030
1948,    59.270,    61.160,    94.750,    79.480,    93.120,    80.800,    70.310,    58.020,    33.690,    80.960,   102.940,    67.900
1949,    77.290,    65.380,    53.240,    76.710,    47.600,    32.750,    69.030,    74.680,    98.350,    46.660,    74.280,    90.670
1950,   109.070,    82.940,    80.730,    55.260,    48.650,    68.600,    77.360,    94.660,    57.510,    80.600,   124.690,    66.540
1951,    73.530,    79.310,   103.910,   111.000,    46.580,    96.980,   118.210,    67.460,    79.850,    51.160,    91.830,   106.390
1952,    70.460,    56.670,    67.000,    70.180,   111.940,    35.970,    76.920,    75.510,    78.950,    53.540,    76.410,    79.770
1953,    66.930,    44.950,    95.670,    64.080,   126.770,    55.480,    70.000,    78.960,    99.490,    28.680,    58.820,    70.430
1954,    65.740,    86.670,    92.870,   113.010,    54.860,    87.580,    36.630,   100.070,    91.970,    97.980,    85.240,    98.530
1955,    42.170,    53.470,   107.970,    63.310,    62.690,    34.360,    53.090,   122.630,    60.200,   220.410,    52.420,    47.410
1956,    46.050,    65.160,    85.070,    99.950,   114.500,    47.330,    81.060,   120.480,    81.310,    34.340,    59.630,    66.130
1957,    73.470,    46.070,    39.340,    78.180,    88.590,   109.840,    79.140,    33.100,    97.900,    45.230,    66.270,    91.100
1958,    68.990,    73.520,    26.270,    61.500,    60.760,    92.390,    86.280,    87.300,   114.690,    76.790,    79.740,    46.370
1959,    93.920,    74.680,    60.010,    71.870,    63.100,    50.350,    89.960,    86.490,    65.240,   134.460,    91.270,   103.140
1960,    73.990,   105.820,    42.110,    79.440,   111.820,    88.090,    48.600,    64.000,    30.830,    68.040,    54.720,    38.030
1961,    30.130,    75.620,    61.060,   107.600,    80.760,   108.770,    86.200,    79.560,    38.780,    50.850,    74.450,    64.470
1962,    73.790,    68.530,    26.910,    72.890,    53.920,    64.170,    73.660,    75.810,   101.780,    91.840,    55.410,    69.950
1963,    46.550,    34.970,    64.200,    72.560,    84.460,    30.260,    60.290,   107.100,    49.010,    12.670,   128.460,    60.270
1964,    68.210,    31.010,    81.760,    81.330,    73.630,    40.450,    75.010,   102.090,    25.370,    38.890,    60.380,    77.910
1965,    79.430,    94.820,    44.680,    66.020,    33.130,    51.350,    62.490,    96.060,    89.700,   104.830,   102.940,    60.080
1966,    78.310,    59.560,    66.190,    44.140,    51.280,    63.790,    48.240,    83.350,    87.490,    36.140,   123.330,    83.900
1967,    53.680,    45.200,    27.270,    72.450,    77.620,    90.150,    81.690,    93.700,   106.340,   108.470,    99.730,    61.840
1968,    64.410,    43.440,    59.170,    42.930,   101.190,   105.730,    44.150,    86.780,    97.460,    84.120,   123.640,    95.450
1969,    72.560,    22.030,    40.900,   106.180,    99.220,   109.000,    73.770,    52.890,    37.810,    67.500,   106.330,    83.910
1970,    45.370,    57.520,    49.660,    70.170,    79.920,    77.970,   105.910,    70.560,    91.710,    98.900,    93.230,    96.210
1971,    56.200,   113.080,    63.670,    38.860,    48.440,    80.930,    95.100,    85.570,    70.640,    47.920,    66.800,    90.730
1972,    58.110,    89.590,    80.650,    63.210,    99.870,   165.950,    82.820,    92.540,    77.450,    87.220,   110.940,   115.830
1973,    52.750,    52.510,    90.020,   113.070,    94.320,    75.490,    54.130,    54.500,    74.940,    93.300,    97.760,   120.550
1974,    70.290,    49.070,    84.410,    75.760,   114.790,    89.400,    82.810,    73.020,    83.530,    45.800,    98.980,    79.720
1975,    65.820,    75.710,    85.010,    57.090,    65.210,    96.670,    81.440,    92.740,   129.780,    54.180,    72.390,    99.520
1976,    84.690,    71.030,   112.370,    87.530,   114.340,   115.040,    94.710,    79.050,    86.960,   107.540,    42.710,    57.360
1977,    71.490,    40.570,    86.150,    73.890,    33.960,    68.350,    79.790,   143.270,   160.780,    88.350,   126.490,   128.980
1978,   138.550,    23.070,    60.590,    57.100,    62.450,    56.580,    50.540,    90.010,   110.440,    73.120,    57.060,    90.020
1979,   123.210,    45.750,    55.910,    92.280,    82.360,    54.440,    49.020,   102.480,   111.890,   105.040,    94.620,    75.550
1980,    43.190,    27.680,   105.350,   109.560,    38.290,   106.760,   103.470,    68.360,    86.940,   107.330,    73.110,    75.170
1981,    27.440,   105.040,    32.450,    73.470,    70.160,    88.190,    93.530,   102.690,   147.640,   115.480,    61.440,    54.070
1982,    82.810,    45.120,    66.790,    56.730,    77.120,   124.990,    56.420,    79.930,    93.600,    47.770,   127.100,    79.810
1983,    46.540,    43.960,    66.200,   105.550,   107.840,    49.380,    49.660,   103.010,    60.820,    99.860,   111.410,   132.790
1984,    43.920,    82.590,    52.310,    98.870,   124.300,    72.690,    66.510,   119.400,    86.290,    39.890,    75.830,    95.200
1985,    71.140,    82.420,    78.500,    47.820,    73.600,    74.980,    59.240,    87.550,    97.680,    84.680,   160.470,    82.160
1986,    59.290,    54.750,    66.950,    67.890,    83.630,   126.500,   101.110,   111.890,   155.010,    84.720,    61.740,    89.370
1987,    64.190,    23.860,    61.680,    77.980,    39.150,    95.940,    82.190,    81.000,   120.470,    74.320,   102.530,    66.670
1988,    46.340,    79.500,    42.550,    70.390,    57.180,    39.830,    87.330,    86.410,    66.730,   114.070,    85.740,    51.780
1989,    45.860,    43.790,    70.870,    47.310,   123.480,   126.910,    36.640,    72.520,    96.560,    91.610,   124.290,    47.130
1990,    72.150,    87.760,    49.870,    99.430,   129.730,    80.350,    79.910,    69.560,    72.110,   138.880,    68.220,   139.410
1991,    57.800,    41.250,   108.590,   111.370,    84.910,    32.760,    69.680,    78.360,    79.760,    76.110,    67.160,    76.500
1992,    64.140,    52.290,    86.050,    94.340,    86.400,    50.920,   162.690,   123.000,   106.750,    76.870,   116.260,    81.530
1993,    96.150,    56.340,    60.030,   110.120,    53.540,   106.110,    59.240,    67.070,   111.420,    84.300,    94.780,    67.190
1994,    85.280,    45.980,    66.490,    90.660,    87.980,    86.990,    60.970,   101.980,    80.540,    30.600,   109.250,    59.940
1995,   101.940,    45.790,    39.100,    58.070,    61.890,    39.750,    95.870,    69.500,    69.960,   177.630,   127.560,    52.720
1996,    96.740,    61.140,    45.600,   118.760,   108.100,   109.490,    91.980,    63.230,   156.340,    89.590,    98.500,   101.850
1997,    86.000,    77.420,    94.650,    46.720,    75.120,    83.000,    57.910,    92.140,   111.940,    56.310,    94.270,    59.660
1998,   133.590,    50.010,    98.350,    52.250,    58.280,   125.820,    89.970,    92.140,    65.260,    50.620,    52.310,    50.190
1999,   133.470,    30.270,    79.370,    42.470,    58.100,    67.690,    83.230,    64.280,   127.660,    85.910,    96.270,    58.280
2000,    63.500,    60.390,    52.350,   108.120,   133.360,   143.520,    83.640,    89.510,    94.350,    44.770,    80.750,    87.160
2001,    47.880,    71.580,    82.550,    29.500,    76.460,    68.510,    38.460,    73.310,    98.710,    96.840,    78.250,    81.670
2002,    59.790,    56.520,    84.320,   107.050,   132.010,   108.610,    59.080,    45.640,    83.650,    82.680,    86.380,    65.210
2003,    70.400,    65.500,    67.380,    57.600,   130.440,    75.340,    91.000,    81.840,    99.400,   108.890,   126.720,    87.550
2004,    70.110,    35.590,    63.700,    93.550,   131.820,    69.850,   144.500,    91.680,    91.230,    62.590,    85.420,   112.450
2005,    81.930,    61.660,    36.680,   116.150,    29.990,    69.480,    94.510,   108.990,   113.700,   113.240,   128.240,    71.210
2006,    92.850,    67.970,    51.950,    67.970,    72.110,   107.970,   132.780,    58.680,   134.660,   162.270,    87.990,    98.050
2007,    88.030,    50.280,    69.560,    90.710,    43.460,    54.060,    90.060,    45.990,    64.490,    91.700,    98.300,   117.030
2008,    64.260,   114.650,   106.210,    70.420,    68.390,   112.420,   126.200,   108.630,    72.460,   108.060,    93.370,   128.440
2009,    66.440,    55.640,    67.640,   104.130,   101.530,    81.870,   111.260,   110.130,    62.650,   100.490,    50.240,    94.950
2010,    61.560,    47.710,    52.800,    38.750,    70.660,   165.210,   102.350,    88.770,   102.230,   113.320,    87.840,    68.650
2011,    52.770,    74.310,   105.160,   149.760,   132.390,    78.810,    62.120,   122.910,   108.140,   108.940,    83.990,    82.100
2012,    91.760,    38.700,    48.070,    62.000,    62.940,    92.090,    62.080,    60.960,   120.810,   119.980,    30.080,   119.770
2013,    66.640,    83.180,    32.400,    93.750,    84.560,   149.110,    95.980,    84.410,    84.740,   121.430,    90.660,    89.860
2014,    75.860,    73.540,    66.240,   105.170,    97.560,   118.260,   122.160,    88.040,    67.070,    88.010,    68.530,    55.810
2015,    57.950,    60.570,    31.780,    78.620,    70.070,   194.820,    69.760,    83.400,   106.390,    96.720,    47.200,    84.370
2016,    61.280,   103.480,    84.850,    55.000,    43.050,    55.710,    45.070,   105.430,    64.960,   135.320,    60.780,    95.560
2017,    90.060,    72.840,    78.130,   134.370,   165.680,   134.920,   118.790,    83.480,    54.960,   154.280,    91.500,    80.190
2018,    91.080,    80.460,    60.700,   111.330,    60.750,    67.770,    82.940,   111.290,    81.210,   103.040,   133.630,    80.830
2019,    92.810,    74.450,    61.190,   103.110,   130.350,   114.490,    78.160,    80.390,    81.690,   148.700,    69.200,    97.780
2020,    87.230,    66.350,    77.870,    71.530,    73.000,    45.390,    80.170,   115.420,    55.320,    96.400,    70.200,    89.920
2021,    31.300,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA,        NA
